ensembl_gene_id	disorder_ratio
YFL026W	0.20185614849187936
YPL228W	0.37158469945355194
YDR110W	0.2667844522968198
YPL081W	0.1878172588832487
YHR167W	0
YLR390W-A	0.4327731092436975
YLR421C	0.15384615384615383
YOR298C-A	0.9801324503311258
YKL053C-A	0
YEL020W-A	0
YDR363W-A	0.0898876404494382
YJR048W	0
YFR033C	0.564625850340136
YDR529C	0
Q0105	0
YML054C	0
YOL086C	0
YMR303C	0
YJR009C	0.00602409638554216
YGR192C	0
YJL052W	0.00602409638554216
Q0045	0
Q0250	0
Q0275	0.02973977695167286
YNL052W	0
YKR066C	0.02770083102493074
YJR104C	0.577922077922078
YBR160W	0
YAL038W	0
YCR012W	0
YJR057W	0
YBR093C	0
YIL162W	0
YMR297W	0
YPL111W	0.009009009009009
YCL030C	0.00250312891113892
YBR011C	0
YJR121W	0.0410958904109589
Q0085	0
YNR001C	0
YGR254W	0.05949656750572082
YHR174W	0.06407322654462243
YER086W	0
YKL211C	0
YDR050C	0
YKL152C	0.00404858299595141
YGR264C	0
YMR174C	1
YOR101W	0.4110032362459547
YNL098C	0.4968944099378882
YFL038C	0.13106796116504854
YDR224C	0.2748091603053435
YBL002W	0.26717557251908397
YNL030W	0.1262135922330097
YBR009C	0.1262135922330097
YDR382W	0.4545454545454546
YGL103W	0.2953020134228188
YFL037W	0.1050328227571116
YPL240C	0.1156558533145275
YOR187W	0.011441647597254
YPR080W	0.07205240174672489
YBR118W	0.07205240174672489
YEL009C	0.4128113879003559
Q0110	0
Q0060	0
Q0065	0
Q0120	0
YEL021W	0
YJR109C	0
YGL187C	0
YLR395C	0
YDL140C	0.1529140219272937
YOR116C	6.8493150684931e-4
YER165W	0.23570190641247837
YBR020W	0
YPL248C	0.07491486946651532
YML051W	0
YBR019C	0
YGL031C	0.567741935483871
YOL127W	0
YMR056C	0
YOL006C	0.2262678803641092
YLL018C	0.1615798922800718
YFR053C	0.05567010309278351
YGL253W	0.02880658436213992
YEL063C	0.1440677966101695
YDL164C	0.13774834437086092
YLR310C	0.2605412208936438
YNL055C	0
YDR225W	0.07575757575757576
YBL003C	0.07575757575757576
YGL008C	0.1394335511982571
YOR386W	0
YJL088W	0
YLR340W	0.05769230769230769
YDL081C	0.29245283018867924
YOL039W	0.4056603773584906
YGL040C	0
YGR157W	0.02761795166858458
YJR073C	0
YDR172W	0.37664233576642336
YPL078C	0
YGL076C	0.11885245901639344
YLR448W	0
YKL180W	0.29891304347826086
YPL143W	0
YMR194W	0.01
YLR029C	0.13725490196078433
YNL178W	0.1875
YBR189W	0.18974358974358976
YDR064W	0
YLR167W	0
YKL166C	0.08040201005025126
YDL165W	0
YDR168W	0.08102766798418973
YIL038C	0.4449760765550239
YOR361C	0
YGL058W	0.313953488372093
YJL080C	0.16775777414075285
YLR303W	0.01576576576576576
YGR088W	0
YLR355C	0.04050632911392405
YLR044C	0
YPR113W	0
YNL104C	0
YDL108W	0
YDL017W	0.02958579881656804
YJL164C	0.2216624685138539
YPL203W	0.13157894736842105
YCR031C	0.36496350364963503
YOR204W	0.35927152317880795
YDL042C	0.1601423487544484
YLR442C	0.25766871165644173
YOR257W	0
YPR160W	0.02106430155210643
YGL237C	0.920754716981132
YPL022W	0.1618181818181818
YML032C	0.643312101910828
YJR052W	0.2407079646017699
YPR165W	0.07177033492822966
YNL090W	0
YDR477W	0.2480252764612954
YDL159W	0.06601941747572816
YOR074C	0
YNL088W	0.20938375350140057
YBR109C	0
YML095C	0.4428571428571429
YER171W	0.06683804627249357
YER161C	0.993993993993994
YDR392W	0.27002967359050445
YOR065W	0.17475728155339806
YKL182W	0
YDR226W	0.03153153153153153
YNL121C	0.14748784440842788
YGL234W	0
YGR204W	0.00211416490486257
YMR083W	0
YDR216W	0.06424792139077853
YMR042W	0.576271186440678
YDR173C	0.09577464788732394
YBL099W	0.09541284403669724
YDL067C	0
YBL045C	0.0175054704595186
YPR191W	0
YOR303W	0
YJL130C	0.006323396567299
YOL139C	0.01877934272300469
YPL075W	0.3464968152866242
YPR033C	0
YGL009C	0.08472400513478819
YPL154C	0
YDL106C	0.5366726296958855
YFR034C	0.8333333333333334
YML061C	0.26775320139697323
YLR014C	0.0243362831858407
YGL043W	0.2297734627831715
YOR122C	0
YGR258C	0.44131910766246357
YMR208W	0
YIL033C	0.22355769230769232
YOL121C	0.09722222222222222
YNL302C	0.09722222222222222
YFL045C	0
YDR023W	0.08874458874458875
YBR243C	0
YMR108W	0.11062590975254732
YHR013C	0
YFL005W	0
YBR115C	0
YPR110C	0
YFL009W	0.18741976893453144
YAL024C	0.34494773519163763
YOR274W	0
YLR438W	0
YNL192W	0.2988505747126437
YJL128C	0.47005988023952094
YEL024W	0
YDR146C	0.5430183356840621
YPL262W	0
YPR047W	0
YKL184W	0
YDR523C	0.05102040816326531
YJL208C	0
YOR151C	0.05147058823529411
YJL167W	0
YJL166W	0.03191489361702127
YJR010W	0
YHR005C	0.13135593220338984
YDR127W	0
YLR451W	0.22460496613995484
YIR019C	0.681784930504755
YJL005W	0.3129318854886476
YCR005C	0
YHR023W	0.11307053941908714
YOR260W	0.14878892733564014
YPL237W	0.28421052631578947
YJL194W	0.02144249512670565
YLR377C	0
YEL060C	0.2031496062992126
YBR084W	0
YPL016W	0.2785388127853881
YGL203C	0.27023319615912206
YFL018C	0
YML085C	0
YML124C	0
YKL022C	0.30238095238095236
YJL087C	0
YJL026W	0.13533834586466165
YDR232W	0.00182481751824817
YLR182W	0.3785803237858033
YLR333C	0.24074074074074073
YKR057W	0
YPR102C	0.04022988505747126
YLR264W	0.29850746268656714
YPR170W-B	0.09411764705882351
YPR192W	0.22950819672131148
YLR256W	0.3821571238348868
YLL039C	0
YKR094C	0
YIL148W	0
YKR094C	0
YIL148W	0
YJR045C	0.21865443425076453
YNL015W	0
YJR094W-A	0
YPR043W	0
YJR094W-A	0
YPR043W	0
YNL162W	0.08490566037735849
YHR141C	0.08490566037735849
YNL162W	0.08490566037735849
YHR141C	0.08490566037735849
YGR118W	0.04827586206896552
YPR132W	0.04827586206896552
YGR118W	0.04827586206896552
YPR132W	0.04827586206896552
YER074W	0.08148148148148149
YIL069C	0.08148148148148149
YER074W	0.08148148148148149
YIL069C	0.08148148148148149
YJR145C	0
YHR203C	0
YJR145C	0
YHR203C	0
YPL090C	0.3008474576271186
YBR181C	0.3008474576271186
YPL090C	0.3008474576271186
YBR181C	0.3008474576271186
YBL072C	0.235
YER102W	0.235
YBL072C	0.235
YER102W	0.235
YBL087C	0
YER117W	0
YBL087C	0
YER117W	0
YPL220W	0
YGL135W	0
YPL220W	0
YGL135W	0
YFR031C-A	0.5078740157480315
YIL018W	0.5078740157480315
YFR031C-A	0.5078740157480315
YIL018W	0.5078740157480315
YDR025W	0
YBR048W	0
YDR025W	0
YBR048W	0
YOL120C	0.1989247311827957
YNL301C	0.1989247311827957
YOL120C	0.1989247311827957
YNL301C	0.1989247311827957
YDL083C	0
YMR143W	0
YEL054C	0
YDR418W	0
YEL054C	0
YDR418W	0
YML026C	0
YDR450W	0
YML026C	0
YDR450W	0
YLR158C	0
YLR155C	0
YLR157C	0
YLR160C	0
YLR158C	0
YLR155C	0
YLR157C	0
YLR160C	0
YLR158C	0
YLR155C	0
YLR157C	0
YLR160C	0
YHR055C	0
YHR053C	0
YHR055C	0
YHR053C	0
YBL027W	0.5185185185185185
YBR084C-A	0.5185185185185185
YBL027W	0.5185185185185185
YBR084C-A	0.5185185185185185
YDL191W	0
YDL136W	0
YDL191W	0
YDL136W	0
YCR040W	0
YCL066W	0
YCR039C	0
YCL067C	0
YLR158C	0
YLR155C	0
YLR157C	0
YLR160C	0
YHL034C	0.6326530612244898
YKR059W	0
YJL138C	0
YGL256W	0
YMR256C	0
YIR008C	0
YLR163C	0
YAL005C	0.2585669781931464
YLL024C	0.26291079812206575
YHR007C	0
YDL130W	0.07547169811320754
YLR180W	0
YBR031W	0.143646408839779
YER020W	0.2583518930957684
YCR066W	0.22381930184804927
YER011W	0.38976377952755903
YDL194W	0.417420814479638
YGL073W	0.7142857142857143
YAL025C	0.4542483660130719
YOR341W	0.08954326923076923
YDR170C	0.17371826779492286
YDL192W	0
YGL062W	0.00169779286926994
YLR382C	0.00111856823266219
YDR044W	0.18292682926829268
YNL241C	0.07920792079207921
YAL041W	0.09250585480093676
YDL229W	0.03752039151712887
YDR481C	0.0706713780918728
YPR052C	0.8387096774193549
YBR089C-A	1
YNR026C	0
YCL029C	0.7454545454545455
YCL027W	0.19140625
YMR235C	0.15724815724815724
YMR043W	0.7272727272727273
YML098W	0.4131736526946107
YHR205W	0.3422330097087379
YHR024C	0.1099585062240664
YNL216W	0.43893591293833134
YLR452C	0.09169054441260743
YDR227W	0.4521354933726068
YJL153C	0
YGL013C	0.18632958801498128
YBR143C	0.0022883295194508
YOR043W	0.2654320987654321
YIL015W	0.1448040885860307
YML075C	0.04364326375711575
YLR450W	0.02105263157894736
YKL126W	0.18823529411764703
YOR346W	0.02233502538071066
YNL071W	0.2676348547717842
YBR196C	0
YNL250W	0.09908536585365854
YGR083C	0.30721966205837176
YKL209C	0
YMR231W	0.01554907677356656
YGL115W	0.0248447204968944
YDL040C	0.06088992974238876
YJL092W	0.25383304940374785
YOR276W	0.6149068322981367
YLR234W	0.00457317073170731
YNL238W	0.19901719901719905
YDR122W	0.525375939849624
YLR096W	0.47515257192676547
YGR202C	0.3632075471698113
YAL040C	0.11379310344827588
YNL102W	0.2247956403269755
YER148W	0.23333333333333336
YFL036W	0.01184307920059215
YIL034C	0
YHR084W	0.6875
YGL167C	0.02
YDR040C	0.04216315307057745
YDR158W	0
YBR195C	0
YGR152C	0.35661764705882354
YPR183W	0.0299625468164794
YKL109W	0.36101083032490977
YOR120W	0
YGL030W	0
YOR063W	0.17571059431524547
YKL112W	0.7099863201094391
YBR038W	0.2512980269989616
YNL082W	0.1122565864833906
YPL167C	0.02327127659574468
YLR263W	0.2877871825876663
YLR178C	0
YKL060C	0.00278551532033426
YJL141C	0.43370508054522927
YGR040W	0.00271739130434782
YDR054C	0.4745762711864407
YHR083W	0
YFR036W	0.9112903225806452
YER162C	0.27055702917771884
YDR217C	0.5439266615737204
YKR026C	0
YKL104C	0
YLR195C	0.03956043956043956
YML057W	0.25662251655629137
YLL015W	0.0654265554842848
YDR155C	0
YKL103C	0.07587548638132295
YOR254C	0.08144796380090498
YMR228W	0
YBR112C	0.6273291925465838
YLR354C	0.00597014925373134
YMR186W	0.10780141843971631
YDR037W	0.155668358714044
YDR256C	0.06796116504854369
YML035C	0.17777777777777778
YPR181C	0
YGL166W	0.3466666666666667
YIR022W	0
YDR194C	0.1927710843373494
YDL102W	0.08021877848678213
YDR283C	0.07715491259795057
