ensembl_gene_id	perc
YFL026W	0.25986078886310904
YPL228W	0.5209471766848816
YDR110W	0.3392226148409894
YPL081W	0.3553299492385787
YHR167W	0.00383141762452107
YLR390W-A	0.5210084033613446
YLR421C	0.28846153846153844
YOR298C-A	1
YKL053C-A	0.08139534883720931
YEL020W-A	0.08045977011494253
YDR363W-A	1
YJR048W	0.08256880733944955
YFR033C	0.8027210884353742
YDR529C	0
Q0105	0.07012987012987013
YML054C	0.06429780033840947
YOL086C	0
YMR303C	0
YJR009C	0.2078313253012048
YGR192C	0.1897590361445783
YJL052W	0.21084337349397592
Q0045	0.01123595505617977
Q0250	0.08764940239043825
Q0275	0.07806691449814127
YNL052W	0.4901960784313726
YKR066C	0.26038781163434904
YJR104C	0.9675324675324676
YBR160W	0.08053691275167785
YAL038W	0.13
YCR012W	0
YJR057W	0
YBR093C	0
YIL162W	0.02819548872180451
YMR297W	0
YPL111W	0.2672672672672673
YCL030C	0.1013767209011264
YBR011C	0.01393728222996515
YJR121W	0.28180039138943247
Q0085	0.0888030888030888
YNR001C	0.0918580375782881
YGR254W	0.12814645308924486
YHR174W	0.13958810068649885
YER086W	0
YKL211C	0.00206611570247933
YDR050C	0
YKL152C	0.242914979757085
YGR264C	0
YMR174C	1
YOR101W	0.44983818770226536
YNL098C	0.5807453416149069
YFL038C	0.24757281553398056
YDR224C	0.44274809160305345
YBL002W	0.42748091603053434
YNL030W	0.2621359223300971
YBR009C	0.2621359223300971
YDR382W	0.6
YGL103W	0.47651006711409394
YFL037W	0.12035010940919036
YPL240C	0.19040902679830748
YOR187W	0.17620137299771166
YPR080W	0.3078602620087336
YBR118W	0.3078602620087336
YEL009C	0.505338078291815
Q0110	0
Q0060	0.0216867469879518
Q0065	0.01618705035971223
Q0120	0.05015673981191222
YEL021W	0.04119850187265917
YJR109C	0.00447227191413237
YGL187C	0.17419354838709675
YLR395C	0
YDL140C	0.28620888632429314
YOR116C	0.05068493150684931
YER165W	0.42807625649913345
YBR020W	0.01515151515151515
YPL248C	0.21793416572077184
YML051W	0.02528735632183908
YBR019C	0
YGL031C	0.6387096774193548
YOL127W	0.2112676056338028
YMR056C	0.03236245954692556
YOL006C	0.39011703511053314
YLL018C	0.19210053859964096
YFR053C	0.0865979381443299
YGL253W	0.09053497942386832
YEL063C	0.21694915254237288
YDL164C	0.2132450331125828
YLR310C	0.4292007551919446
YNL055C	0.00353356890459363
YDR225W	0.2348484848484849
YBL003C	0.24242424242424243
YGL008C	0.24183006535947713
YOR386W	0.10442477876106196
YJL088W	0.0029585798816568
YLR340W	0.15705128205128205
YDL081C	0.4339622641509434
YOL039W	0.5943396226415094
YGL040C	0.0175438596491228
YGR157W	0.1231300345224396
YJR073C	0.02912621359223301
YDR172W	0.5153284671532846
YPL078C	0.12295081967213116
YGL076C	0.16393442622950818
YLR448W	0.1875
YKL180W	0.7663043478260869
YPL143W	0
YMR194W	0.34
YLR029C	0.6029411764705882
YNL178W	0.22083333333333333
YBR189W	0.35384615384615387
YDR064W	0.03973509933774834
YLR167W	0.10526315789473684
YKL166C	0.2964824120603015
YDL165W	0
YDR168W	0.3715415019762846
YIL038C	0.6590909090909091
YOR361C	0.0943643512450852
YGL058W	0.5465116279069767
YJL080C	0.430441898527005
YLR303W	0.08108108108108109
YGR088W	0.1209964412811388
YLR355C	0.1291139240506329
YLR044C	0.00532859680284191
YPR113W	0.07727272727272727
YNL104C	0.10016155088852988
YDL108W	0.0065359477124183
YDL017W	0.1873767258382643
YJL164C	0.380352644836272
YPL203W	0.2026315789473684
YCR031C	0.5182481751824818
YOR204W	0.4470198675496689
YDL042C	0.22419928825622776
YLR442C	0.3292433537832311
YOR257W	0.10559006211180123
YPR160W	0.05432372505543237
YGL237C	1
YPL022W	0.24
YML032C	0.7579617834394905
YJR052W	0.26902654867256637
YPR165W	0.4019138755980861
YNL090W	0
YDR477W	0.3886255924170616
YDL159W	0.17281553398058253
YOR074C	0.05921052631578947
YNL088W	0.2542016806722689
YBR109C	0.12244897959183672
YML095C	0.5476190476190477
YER171W	0.15295629820051415
YER161C	1
YDR392W	0.5548961424332344
YOR065W	0.4401294498381877
YKL182W	0.02242808386153096
YDR226W	0.38738738738738737
YNL121C	0.35980551053484605
YGL234W	0.00374064837905236
YGR204W	0.12367864693446089
YMR083W	0
YDR216W	0.19954648526077096
YMR042W	0.9265536723163842
YDR173C	0.2169014084507042
YBL099W	0.26422018348623855
YDL067C	0.11864406779661016
YBL045C	0.1291028446389497
YPR191W	0.00271739130434782
YOR303W	0
YJL130C	0.05239385727190605
YOL139C	0.20657276995305163
YPL075W	0.3847133757961784
YPR033C	0.173992673992674
YGL009C	0.2220795892169448
YPL154C	0
YDL106C	0.7155635062611807
YFR034C	0.9583333333333334
YML061C	0.43771827706635624
YLR014C	0.20243362831858408
YGL043W	0.36893203883495146
YOR122C	0
YGR258C	0.5848690591658584
YMR208W	0.00902934537246049
YIL033C	0.33413461538461536
YOL121C	0.6388888888888888
YNL302C	0.6041666666666666
YFL045C	0.02755905511811023
YDR023W	0.24025974025974023
YBR243C	0.03348214285714285
YMR108W	0.24745269286754004
YHR013C	0.2058823529411765
YFL005W	0.04651162790697674
YBR115C	0.0653735632183908
YPR110C	0.09253731343283582
YFL009W	0.2734274711168164
YAL024C	0.5637630662020906
YOR274W	0
YLR438W	0
YNL192W	0.35278514588859416
YJL128C	0.5119760479041916
YEL024W	0.00930232558139534
YDR146C	0.7362482369534555
YPL262W	0.1413934426229508
YPR047W	0
YKL184W	0.04291845493562232
YDR523C	0.16122448979591836
YJL208C	0.0851063829787234
YOR151C	0.1503267973856209
YJL167W	0
YJL166W	0.3723404255319149
YJR010W	0.08023483365949119
YHR005C	0.22033898305084745
YDR127W	0.00566750629722921
YLR451W	0.381489841986456
YIR019C	0.8149231894659839
YJL005W	0.32477788746298125
YCR005C	0.10217391304347828
YHR023W	0.34647302904564314
YOR260W	0.25951557093425603
YPL237W	0.49473684210526314
YJL194W	0.10721247563352826
YLR377C	0.04597701149425287
YEL060C	0.352755905511811
YBR084W	0.07384615384615385
YPL016W	0.3767123287671233
YGL203C	0.3429355281207133
YFL018C	0.03006012024048096
YML085C	0.03131991051454139
YML124C	0.01573033707865168
YKL022C	0.4107142857142857
